"state","jurisdiction","fipscode","office","candidate","party","votes","totalvotes"
"TN","Warren",4717700000,"President","Mike Smith","Independent",41,13612
"TN","Warren",4717700000,"President","Tom Hoefling","America's Party",0,13612
"TN","Washington",4717900000,"President","Rocky Roque de la Fuente","Independent",82,49750
"TN","Washington",4717900000,"President","Alyson Kennedy","Socialist Workers",53,49750
"TN","Washington",4717900000,"President","Cherunda Fox","",0,49750
"TN","Washington",4717900000,"President","Darrell Castle","Constitution",34,49750
"TN","Washington",4717900000,"President","David Limbaugh","",0,49750
"TN","Washington",4717900000,"President","Donald Trump","Republican",34252,49750
"TN","Washington",4717900000,"President","Evan McMullin","Independent",207,49750
"TN","Washington",4717900000,"President","Gary Johnson","Libertarian",1468,49750
"TN","Washington",4717900000,"President","Hillary Clinton","Democrat",13024,49750
"TN","Washington",4717900000,"President","Jill Stein","Independent",478,49750
"TN","Washington",4717900000,"President","Kyle Kenley Kopitke","",0,49750
"TN","Washington",4717900000,"President","Laurence Kotlikoff","",0,49750
"TN","Washington",4717900000,"President","Marshall Roy Schoenke","",0,49750
"TN","Washington",4717900000,"President","Mike Smith","Independent",152,49750
"TN","Washington",4717900000,"President","Tom Hoefling","America's Party",0,49750
"TN","Wayne",4718100000,"President","Rocky Roque de la Fuente","Independent",11,5857
"TN","Wayne",4718100000,"President","Alyson Kennedy","Socialist Workers",3,5857
"TN","Wayne",4718100000,"President","Cherunda Fox","",0,5857
"TN","Wayne",4718100000,"President","Darrell Castle","Constitution",5,5857
"TN","Wayne",4718100000,"President","David Limbaugh","",0,5857
"TN","Wayne",4718100000,"President","Donald Trump","Republican",5036,5857
"TN","Wayne",4718100000,"President","Evan McMullin","Independent",8,5857
"TN","Wayne",4718100000,"President","Gary Johnson","Libertarian",56,5857
"TN","Wayne",4718100000,"President","Hillary Clinton","Democrat",717,5857
"TN","Wayne",4718100000,"President","Jill Stein","Independent",9,5857
"TN","Wayne",4718100000,"President","Kyle Kenley Kopitke","",0,5857
"TN","Wayne",4718100000,"President","Laurence Kotlikoff","",0,5857
"TN","Wayne",4718100000,"President","Marshall Roy Schoenke","",0,5857
"TN","Wayne",4718100000,"President","Mike Smith","Independent",12,5857
"TN","Wayne",4718100000,"President","Tom Hoefling","America's Party",0,5857
"TN","Weakley",4718300000,"President","Rocky Roque de la Fuente","Independent",25,12184
"TN","Weakley",4718300000,"President","Alyson Kennedy","Socialist Workers",10,12184
"TN","Weakley",4718300000,"President","Cherunda Fox","",0,12184
"TN","Weakley",4718300000,"President","Darrell Castle","Constitution",5,12184
"TN","Weakley",4718300000,"President","David Limbaugh","",0,12184
"TN","Weakley",4718300000,"President","Donald Trump","Republican",9008,12184
"TN","Weakley",4718300000,"President","Evan McMullin","Independent",43,12184
"TN","Weakley",4718300000,"President","Gary Johnson","Libertarian",220,12184
"TN","Weakley",4718300000,"President","Hillary Clinton","Democrat",2772,12184
"TN","Weakley",4718300000,"President","Jill Stein","Independent",62,12184
"TN","Weakley",4718300000,"President","Kyle Kenley Kopitke","",0,12184
"TN","Weakley",4718300000,"President","Laurence Kotlikoff","",0,12184
"TN","Weakley",4718300000,"President","Marshall Roy Schoenke","",0,12184
"TN","Weakley",4718300000,"President","Mike Smith","Independent",39,12184
"TN","Weakley",4718300000,"President","Tom Hoefling","America's Party",0,12184
"TN","White",4718500000,"President","Rocky Roque de la Fuente","Independent",22,9825
"TN","White",4718500000,"President","Alyson Kennedy","Socialist Workers",22,9825
"TN","White",4718500000,"President","Cherunda Fox","",0,9825
"TN","White",4718500000,"President","Darrell Castle","Constitution",4,9825
"TN","White",4718500000,"President","David Limbaugh","",0,9825
"TN","White",4718500000,"President","Donald Trump","Republican",7671,9825
"TN","White",4718500000,"President","Evan McMullin","Independent",26,9825
"TN","White",4718500000,"President","Gary Johnson","Libertarian",149,9825
"TN","White",4718500000,"President","Hillary Clinton","Democrat",1845,9825
"TN","White",4718500000,"President","Jill Stein","Independent",45,9825
"TN","White",4718500000,"President","Kyle Kenley Kopitke","",0,9825
"TN","White",4718500000,"President","Laurence Kotlikoff","",0,9825
"TN","White",4718500000,"President","Marshall Roy Schoenke","",0,9825
"TN","White",4718500000,"President","Mike Smith","Independent",39,9825
"TN","White",4718500000,"President","Tom Hoefling","America's Party",2,9825
